# This spectrum, originally implemented in Aug 1998, was replaced 
# in March 2004 by a more recent spectrum of Vega based on STIS 
# observations and a 2003 Kurucz model.
#....................................................................
# Vega spectrum from 1993 Kurucz models (crgrid$k93models/standards/vega)
# 
# Teff =   9550.000     log g =   3.950000     log z = -0.5000000E+00
#  V = +0.034 mag   (measured from spectrum, assuming 3670 Jy for V=0)
#
#      WAVELENGTH            FLUX
#       angstroms            flam
            506.    4.2136478E-23
            512.    7.4453424E-23
            520.    1.3974105E-22
            530.    3.0291926E-22
            540.    6.2732728E-22
            550.    1.2630835E-21
            560.    2.4763277E-21
            570.    4.7341158E-21
            580.    8.8368585E-21
            590.    1.6127371E-20
            600.    2.8806620E-20
            610.    5.0416474E-20
            620.    8.6543785E-20
            630.    1.4584244E-19
            640.    2.4150432E-19
            650.    3.9326981E-19
            658.    5.7426859E-19
            665.    7.9333590E-19
            675.    1.2431591E-18
            685.    1.9204642E-18
            695.    2.9269126E-18
            705.    2.4264433E-19
            716.    3.5350750E-19
            726.    4.9131520E-19
            735.    6.5497882E-19
            745.    8.9269652E-19
            755.    1.2051743E-18
            765.    1.6121602E-18
            775.    2.1370875E-18
            785.    2.8093198E-18
            795.    3.6405137E-18
            805.    4.7270990E-18
            815.    6.0747867E-18
            825.    7.7404733E-18
            835.    9.7860909E-18
            845.    1.2309594E-17
            855.    1.5369995E-17
            865.    1.9069660E-17
            875.    2.3487625E-17
            885.    2.8831734E-17
            895.    3.5154974E-17
            905.    4.2488837E-17
            915.    9.7567379E-15
            925.    5.9341285E-14
            935.    1.0028124E-13
            945.    1.6842708E-13
            955.    2.4477290E-13
            965.    3.2303099E-13
            975.    2.7816098E-13
            985.    4.6489998E-13
            995.    5.1749918E-13
           1005.    6.5249634E-13
           1015.    7.4090365E-13
           1025.    4.9716264E-13
           1035.    9.5417912E-13
           1045.    1.1771816E-12
           1055.    1.3511058E-12
           1065.    1.4787929E-12
           1075.    1.7333950E-12
           1085.    1.9429892E-12
           1095.    2.0996893E-12
           1105.    6.9727717E-11
           1115.    2.1103359E-10
           1125.    2.6502259E-10
           1135.    2.8517752E-10
           1145.    2.1842655E-10
           1155.    1.7983941E-10
           1165.    1.2240815E-10
           1175.    4.6682869E-11
           1185.    1.5367544E-11
           1195.    6.7037925E-12
           1205.    5.5972137E-12
           1215.    1.6059307E-12
           1225.    6.1294767E-12
           1235.    1.2506997E-11
           1245.    3.4772900E-11
           1255.    1.7584161E-10
           1265.    3.2774544E-10
           1275.     1.1790839E-9
           1285.     2.1734163E-9
           1295.     2.7195668E-9
           1305.     2.1611732E-9
           1315.     3.6411760E-9
           1325.     4.2225117E-9
           1335.     4.1598849E-9
           1345.     5.2666129E-9
           1355.     5.0181943E-9
           1365.     4.6727084E-9
           1375.     5.3242157E-9
           1385.     5.2940852E-9
           1395.     5.8317324E-9
           1405.     5.8393383E-9
           1415.     5.3598765E-9
           1425.     5.8197256E-9
           1435.     5.3010627E-9
           1442.     5.9645919E-9
           1447.     6.5175243E-9
           1455.     6.5036767E-9
           1465.     5.8359491E-9
           1475.     5.6887175E-9
           1485.     6.0370584E-9
           1495.     6.4494987E-9
           1505.     6.6127686E-9
           1512.     6.0769527E-9
           1517.     6.5174333E-9
           1525.     5.7723306E-9
           1535.     5.2522902E-9
           1545.     6.3283574E-9
           1555.     5.7726783E-9
           1565.     5.3033418E-9
           1575.     5.9120531E-9
           1585.     6.2979915E-9
           1595.     6.7320984E-9
           1605.     6.3113150E-9
           1615.     6.1842864E-9
           1625.     5.5771099E-9
           1635.     5.9876646E-9
           1645.     6.2559851E-9
           1655.     5.0104947E-9
           1665.     6.1690497E-9
           1672.     4.6111222E-9
           1677.     5.7877689E-9
           1685.     6.3605241E-9
           1695.     5.8209739E-9
           1705.     5.6285288E-9
           1715.     5.7197402E-9
           1725.     5.6227103E-9
           1735.     5.9257110E-9
           1745.     5.7548237E-9
           1755.     6.2370979E-9
           1765.     5.3977804E-9
           1775.     5.9697038E-9
           1785.     5.8929897E-9
           1795.     6.3644414E-9
           1805.     6.1212946E-9
           1815.     6.0066685E-9
           1825.     5.7918310E-9
           1835.     5.6373959E-9
           1845.     5.2040026E-9
           1855.     5.4711493E-9
           1865.     5.4978924E-9
           1875.     5.6843148E-9
           1885.     5.6460183E-9
           1895.     5.6206244E-9
           1905.     5.3647895E-9
           1915.     5.5516880E-9
           1925.     5.5826681E-9
           1935.     5.3956000E-9
           1945.     5.7016902E-9
           1955.     5.6222098E-9
           1967.     5.7416729E-9
           1976.     5.6146816E-9
           1984.     5.4876610E-9
           1995.     5.3290488E-9
           2005.     5.2341798E-9
           2015.     5.0869580E-9
           2025.     5.0263131E-9
           2035.     5.1724856E-9
           2045.     5.3330664E-9
           2055.     5.1251265E-9
           2065.     5.0433684E-9
           2074.     5.2446376E-9
           2078.     5.3432339E-9
           2085.     5.2875033E-9
           2095.     5.0972053E-9
           2105.     4.9690474E-9
           2115.     4.9722564E-9
           2125.     5.0296860E-9
           2135.     4.4234163E-9
           2145.     4.8432214E-9
           2155.     4.8546034E-9
           2165.     4.6277706E-9
           2175.     4.5685011E-9
           2185.     4.5798516E-9
           2195.     4.8400213E-9
           2205.     4.6343800E-9
           2215.     4.3117905E-9
           2225.     4.2538795E-9
           2235.     4.6666826E-9
           2245.     4.2522972E-9
           2255.     4.1767421E-9
           2265.     4.1530677E-9
           2275.     4.3864379E-9
           2285.     4.5027901E-9
           2295.     4.2349524E-9
           2305.     4.2179367E-9
           2315.     4.0976991E-9
           2325.     3.4264014E-9
           2335.     3.9462620E-9
           2345.     3.6389052E-9
           2355.     4.0658592E-9
           2365.     3.6655359E-9
           2375.     3.8636170E-9
           2385.     3.4269247E-9
           2395.     3.7252874E-9
           2405.     3.5642915E-9
           2415.     3.6329062E-9
           2425.     3.8372701E-9
           2435.     3.6590988E-9
           2445.     3.8932306E-9
           2455.     3.7425427E-9
           2465.     3.7314281E-9
           2475.     3.5772081E-9
           2485.     3.7474002E-9
           2495.     3.6267815E-9
           2505.     3.9578509E-9
           2513.     3.6131651E-9
           2518.     3.6328727E-9
           2525.     3.4232130E-9
           2535.     3.3707765E-9
           2545.     3.3834582E-9
           2555.     3.6186583E-9
           2565.     3.6004819E-9
           2575.     3.8071577E-9
           2585.     3.8051438E-9
           2595.     3.7434726E-9
           2605.     3.5986250E-9
           2615.     3.5704684E-9
           2625.     3.7493035E-9
           2635.     3.7421874E-9
           2645.     4.0687396E-9
           2655.     4.0158481E-9
           2665.     3.7859169E-9
           2675.     3.8920889E-9
           2685.     3.8982981E-9
           2695.     3.7311705E-9
           2705.     3.7892431E-9
           2715.     3.6350254E-9
           2725.     3.6469405E-9
           2735.     3.8621355E-9
           2745.     3.3972136E-9
           2755.     3.4303980E-9
           2765.     3.5609058E-9
           2775.     3.7098586E-9
           2785.     3.6058305E-9
           2795.     2.5722722E-9
           2805.     2.8898333E-9
           2815.     3.7511363E-9
           2825.     3.7795993E-9
           2835.     3.6703742E-9
           2845.     3.5631684E-9
           2855.     3.4950773E-9
           2865.     3.6456440E-9
           2875.     3.5661143E-9
           2885.     3.6321979E-9
           2895.     3.5450043E-9
           2910.     3.7878181E-9
           2930.     3.6600387E-9
           2950.     3.6415817E-9
           2970.     3.6432359E-9
           2990.     3.6544920E-9
           3010.     3.6941310E-9
           3030.     3.6562566E-9
           3050.     3.6299002E-9
           3070.     3.5882350E-9
           3090.     3.6114725E-9
           3110.     3.5443120E-9
           3130.     3.5276588E-9
           3150.     3.5343133E-9
           3170.     3.5045653E-9
           3190.     3.3992018E-9
           3210.     3.4489605E-9
           3230.     3.3917649E-9
           3250.     3.4027892E-9
           3270.     3.4124141E-9
           3290.     3.4126666E-9
           3310.     3.4096668E-9
           3330.     3.3582543E-9
           3350.     3.3105405E-9
           3370.     3.3071006E-9
           3390.     3.2679899E-9
           3410.     3.2963485E-9
           3430.     3.2745704E-9
           3450.     3.2550462E-9
           3470.     3.2184113E-9
           3490.     3.2030096E-9
           3510.     3.2111727E-9
           3530.     3.2035061E-9
           3550.     3.1896650E-9
           3570.     3.1468477E-9
           3590.     3.1293581E-9
           3610.     3.1099021E-9
           3630.     3.0972707E-9
           3640.     3.0854108E-9
           3650.     3.1264646E-9
           3670.     3.0118341E-9
           3690.     2.7676872E-9
           3710.     3.0997909E-9
           3730.     3.2452137E-9
