# Here's a "typical worst-case" earthshine spectrum.  The given rate is
# the average rate during a 500-sec exposure.  The solid angle is a square
# arcsecond.  The flux density has been averaged over 100-Angstrom bins 
# which begin at tabulated wavelengths.  The units are: Wavelength (A) 
# and time-averaged fluxes (ergs/(sq-cm sec A/sq arcsec). -- Larry Petro
#
# wave	bright-earth
#-------------------
  1000 4.827e-23
  1100 8.759e-22
  1200 8.029e-23
  1300 1.482e-24
  1400 8.584e-25
  1500 8.317e-25
  1600 5.103e-25
  1700 1.578e-24
  1800 1.865e-22
  1900 8.782e-22
  2000 2.026e-21
  2100 3.207e-21
  2200 1.499e-21
  2300 6.642e-22
  2400 4.999e-22
  2500 4.776e-22
  2600 1.123e-21
  2700 1.354e-20
  2800 4.065e-21
  2900 8.631e-20
  3000 1.867e-19
  3100 4.146e-19
  3200 7.201e-19
  3300 8.548e-19
  3400  1.28e-18
  3500  1.64e-18
  3600  2.13e-18
  3700 2.432e-18
  3800 2.457e-18
  3900 3.041e-18
  4000 4.753e-18
  4100 5.087e-18
  4200 4.777e-18
  4300 4.897e-18
  4400 5.959e-18
  4500 6.666e-18
  4600 6.823e-18
  4700 6.889e-18
  4800 6.746e-18
  4900 6.932e-18
  5000 6.913e-18
  5100 6.661e-18
  5200 6.914e-18
  5300 7.121e-18
  5400 7.137e-18
  5500 7.187e-18
  5600 7.236e-18
  5700 7.353e-18
  5800 7.329e-18
  5900  7.34e-18
  6000 7.284e-18
  6100 7.002e-18
  6200 7.017e-18
  6300 6.937e-18
  6400 6.798e-18
  6500 6.479e-18
  6600 6.712e-18
  6700 6.612e-18
  6800 6.515e-18
  6900  6.42e-18
  7000 6.272e-18
  7100 6.155e-18
  7200  6.07e-18
  7300 5.987e-18
  7400 5.879e-18
  7500 5.854e-18
  7600  5.75e-18
  7700  5.65e-18
  7800 5.577e-18
  7900 5.457e-18
  8000 5.413e-18
  8100 5.346e-18
  8200 5.233e-18
  8300 5.146e-18
  8400 5.061e-18
  8500 4.931e-18
  8600 4.851e-18
  8700 4.841e-18
  8800  4.74e-18
  8900  4.71e-18
  9000 4.547e-18
  9100 4.562e-18
  9200 4.426e-18
  9300 4.422e-18
  9400 4.332e-18
  9500 4.245e-18
  9600 4.201e-18
  9700 4.157e-18
  9800 4.095e-18
  9900 4.053e-18
 10000 3.933e-18
