# FOS data quality file flag values
 
30 	# a dead diode contributed to the combadded data point
100 	# Reed-Solomon decoding error
130 	# Moderate Saturation (more than 5% error possible
	# in the paired pulse correction)
160 	# intermittent dead diode
170 	# intermittent noisy diode
190 	# Large Saturation (more than 20% error possible
	# in the paired pulse correction) 
200 	# Invalid inverse sensitivity
300 	# Severe Saturation (more than 50% error possible
	# in the paired pulse correction)
400 	# Dead or disabled diode.
700 	# Filled due to GIMP correction
800 	# Fill data (telemetry error)

